YEAR,MONTH,DAY,VALUE
1983,12,11,0.981
1983,12,12,0.886
1983,12,13,0.793
1983,12,14,0.359
1983,12,15,-0.310
1983,12,16,-0.799
1983,12,17,-0.848
1983,12,18,-1.095
1983,12,19,-1.226
1983,12,20,-1.242
1983,12,21,-1.001
1983,12,22,-0.755
1983,12,23,-0.513
1983,12,24,-0.095
1983,12,25,0.651
1983,12,26,0.845
1983,12,27,0.922
1983,12,28,0.903
1983,12,29,0.879
1983,12,30,1.589
1983,12,31,2.254
1984,1,1,2.174
1984,1,2,1.735
1984,1,3,1.019
1984,1,4,0.809
1984,1,5,0.839
1984,1,6,0.792
1984,1,7,0.661
1984,1,8,0.696
1984,1,9,0.868
1984,1,10,1.303
1984,1,11,1.535
1984,1,12,1.633
1984,1,13,1.625
1984,1,14,1.468
1984,1,15,1.324
1984,1,16,1.042
1984,1,17,0.876
1984,1,18,0.866
1984,1,19,0.826
1984,1,20,0.852
1984,1,21,0.941
1984,1,22,0.929
1984,1,23,0.664
1984,1,24,0.316
1984,1,25,0.187
1984,1,26,0.133
1984,1,27,0.370
1984,1,28,0.585
1984,1,29,0.483
1984,1,30,0.713
1984,1,31,0.931
1984,2,1,1.045
1984,2,2,1.133
1984,2,3,1.340
1984,2,4,1.435
1984,2,5,1.356
1984,2,6,1.149
1984,2,7,0.999
1984,2,8,0.703
1984,2,9,0.603
1984,2,10,0.688
1984,2,11,0.711
1984,2,12,0.839
1984,2,13,0.808
1984,2,14,0.471
1984,2,15,0.477
1984,2,16,0.677
1984,2,17,0.597
1984,2,18,0.402
1984,2,19,0.385
1984,2,20,0.420
1984,2,21,0.352
1984,2,22,0.341
1984,2,23,0.313
1984,2,24,0.326
1984,2,25,0.060
1984,2,26,-0.139
1984,2,27,-0.197
1984,2,28,-0.314
1984,2,29,-0.461
1984,3,1,-0.443
1984,3,2,-0.180
1984,3,3,0.075
1984,3,4,0.201
1984,3,5,0.180
1984,3,6,0.077
1984,3,7,0.123
1984,3,8,0.291
1984,3,9,0.445
1984,3,10,0.366
1984,3,11,0.108
1984,3,12,0.145
1984,3,13,0.264
1984,3,14,0.364
1984,3,15,0.440
1984,3,16,0.645
1984,3,17,0.699
1984,3,18,0.764
1984,3,19,0.792
1984,3,20,0.600
1984,3,21,0.221
1984,3,22,-0.020
1984,3,23,-0.238
1984,3,24,-0.644
1984,3,25,-0.896
1984,3,26,-1.100
1984,3,27,-1.148
1984,3,28,-1.182
1984,3,29,-1.138
1984,3,30,-0.814
1984,3,31,-0.540
1984,4,1,-0.251
1984,4,2,0.008
1984,4,3,0.126
1984,4,4,0.036
1984,4,5,-0.121
1984,4,6,-0.210
1984,4,7,0.017
