"SITE_ID","SITE_NAME","MOVED_TO_SITE_ID","DATE","DEPTH","WATER","DENSITY","LATITUDE","LONGITUDE","NA","NA","NA","NA","NA","NA","NA"
1157,"MILLINOCKET (GNP)",NA,"1979-13-02",14.5,6,0.41,45.641869,-68.713928,1157,"MILLINOCKET (GNP)",NA,"1979-13-02",14.5,6,0.41
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1283,"FROST POND/RIPOGENOUS DAM (GNP)",NA,"1979-13-02",20.5,6,0.29,45.910439,-69.185211,1283,"FROST POND/RIPOGENOUS DAM (GNP)",NA,"1979-13-02",20.5,6,0.29
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,"MOOSEHEAD (KWP)",NA,"1979-15-02",23.8,7.3,0.31,45.583831,-69.725289,1013,"MOOSEHEAD (KWP)",NA,"1979-15-02",23.8,7.3,0.31
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-15-02",35,9.8,0.28,44.945659,-70.997712,1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-15-02",35,9.8,0.28
1030,"MIDDLE DAM (UWP)",NA,"1979-15-02",34,8.7,0.26,44.778711,-70.923104,1030,"MIDDLE DAM (UWP)",NA,"1979-15-02",34,8.7,0.26
1031,"UPPER DAM (UWP)",NA,"1979-15-02",32,7.7,0.24,44.883761,-70.862954,1031,"UPPER DAM (UWP)",NA,"1979-15-02",32,7.7,0.24
1036,"JACKMAN/JACKMAN STATION (KWP)",1560,"1979-15-02",36.2,9.71,0.27,45.61838,-70.24965,1036,"JACKMAN/JACKMAN STATION (KWP)",1560,"1979-15-02",36.2,9.71,0.27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,"BRASSUA (KWP)",NA,"1979-15-02",24.6,7.96,0.32,45.656509,-69.8107,1047,"BRASSUA (KWP)",NA,"1979-15-02",24.6,7.96,0.32
1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-15-02",28.7,8.55,0.3,45.465157,-69.628472,1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-15-02",28.7,8.55,0.3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-15-02",34.5,8.37,0.24,45.224398,-70.192124,1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-15-02",34.5,8.37,0.24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
